"S1" "S4" "S7" "S2" "S5" "S8" "S3" "S6" "S9"
"IBTK" 1999 2156 3917 1856 2180 2312 2485 1769 3334
"ZNF195" 593 419 880 600 545 633 774 921 1309
"MYCBP2" 4039 3053 7290 4240 5115 5592 3980 1331 6176
"FBXL3" 9176 6938 8926 7541 7576 5439 6928 6718 7371
"ITGAL" 107 55 195 103 66 305 70 37 75
"PDK2" 353 486 651 445 598 278 670 448 510
"ITGA3" 2832 4938 6990 2943 5513 8257 2925 1841 3306
"ZFX" 2952 2669 4710 3385 3387 2872 3913 2752 4211
"LAMP2" 13537 12273 11366 13409 12625 9597 11503 13578 9380
"ITGA2B" 65 121 33 66 141 25 67 133 77
"ASB4" 46 66 16 53 37 7 50 58 35
"GDE1" 8780 11509 9561 8825 10141 4399 6705 13668 7004
"REX1BD" 665 874 900 828 828 397 887 838 781
"CRLF1" 18960 19486 18001 19488 19075 9552 20607 24889 15187
"OSBPL7" 50 74 64 37 59 39 41 72 37
"TMEM98" 275 477 452 290 416 215 263 714 312
"YBX2" 7 5 27 4 11 10 10 6 19
"KRT33A" 0 2 1 1 0 2 0 1 1
"MAP3K14" 255 290 402 578 495 721 345 283 344
"ABCC8" 7 12 11 14 15 4 11 12 7
"CACNG3" 3 5 8 4 1 6 3 1 2
"TMEM132A" 5651 3936 7185 6321 5701 4833 6520 4453 4573
"AP2B1" 6191 5603 8033 6357 6841 5696 6455 3587 5907
"TAC1" 5 3 6 4 0 3 0 18 4
"ZNF263" 1938 1661 2550 2144 1950 1504 2054 2738 1984
"CX3CL1" 947 96 69 261 175 94 103 39 27
"SPATA20" 215 570 861 286 719 437 364 634 664
"CACNA1G" 62 79 224 27 37 53 40 24 36
"TNFRSF12A" 5863 7759 7675 5293 6365 6456 5482 26035 4627
"DLX6" 1235 1488 1925 1787 1844 623 1414 445 1616
"MAP3K9" 1148 889 1158 1046 1050 1061 870 625 961
"RALA" 3102 3386 3540 2937 3144 2545 3768 2464 3276
"BAIAP2L1" 1545 996 1969 1626 880 2139 1454 694 1706
"KDM7A" 3552 2784 3553 2897 3549 2401 2430 1703 2789
"ETV1" 17 49 38 12 52 12 32 29 30
"AGK" 1118 1192 1733 1276 1388 847 1389 846 1764
"ALDH3B1" 164 178 370 197 189 446 136 137 157
"TTC22" 18 17 50 44 23 37 24 19 36
"PHTF2" 2084 2339 2542 2153 2062 1361 1930 2943 2884
"CCL26" 6 7 17 2 3 6 9 12 3
"FARP2" 1231 1052 1510 975 1054 994 1203 2530 1435
"USH1C" 1 1 2 0 0 0 0 0 0
"GGCT" 3368 2729 4946 3428 2485 1588 4556 2982 4225
"DBF4" 550 783 802 509 766 451 570 1062 990
"TBXA2R" 53 93 121 35 73 59 59 42 31
"IFRD1" 9467 7450 6137 9589 7731 5199 6560 9695 6623
"LGALS14" 257 305 580 203 370 423 144 333 648
"COX10" 888 843 1144 1090 1074 887 972 607 993
"GTF2IRD1" 306 305 1026 324 355 575 326 201 376
"PAF1" 2387 2590 3046 2199 2545 1795 2308 6623 2142
"VPS41" 2924 1306 3062 3023 1698 1810 3332 1069 3078
"ARHGAP44" 648 1095 560 671 1006 474 839 493 635
"ELAC2" 2385 2641 5411 2796 3006 3093 3318 2000 4361
"SCIN" 7700 4760 4278 7878 6304 3708 5410 13020 2490
"ARSD" 2755 1112 2776 2696 1409 1225 2963 1303 2174
"PNPLA4" 413 467 431 355 418 159 521 329 477
"MYH13" 7 15 9 9 11 45 11 6 6
"ADIPOR2" 4929 4145 5571 4451 3901 3699 4654 5966 4367
"CDKL3" 109 143 151 112 138 66 121 152 166
"UPP2" 28 44 38 43 50 34 38 31 101
"PRSS21" 0 2 5 2 0 1 1 4 6
"MARK4" 3819 3825 5390 4462 3811 2983 4984 3527 3985
"PROM1" 201 328 165 138 210 73 165 327 120
"CCDC124" 1217 1581 1937 1267 1391 935 1381 1330 1298
"CEACAM21" 41 115 42 27 101 44 31 143 45
"PAFAH1B1" 7526 5425 9217 6888 6263 5886 6867 6354 7653
"NOS2" 57 60 53 219 111 210 71 66 9
"DNAH9" 16 33 26 17 18 25 22 13 14
"KIAA0100" 18393 10412 14065 15108 11810 7507 13672 9785 12008
"SLC13A2" 0 0 1 0 0 2 0 1 1
"GAS7" 335 453 848 297 459 661 336 278 502
"TRAPPC6A" 733 906 921 896 890 438 1079 797 984
"MATK" 50 56 92 22 19 55 24 44 25
"CEACAM7" 0 0 1 0 0 0 0 0 1
"CD79B" 31 68 21 20 31 10 17 63 20
"SCN4A" 3 9 17 1 3 4 1 1 2
"ST7L" 597 628 818 600 701 597 602 630 949
"TKTL1" 265 58 80 145 36 58 141 29 141
"PAX6" 23 16 24 19 17 18 37 14 48
"RPUSD1" 337 336 942 417 362 432 475 290 683
"RHBDF1" 2206 1581 2667 1842 1790 1262 1941 1456 1809
"LUC7L" 1750 1610 1766 1563 1804 1264 1700 2333 2246
"CACNA2D2" 75 100 42 63 115 49 78 69 55
"BAIAP3" 665 466 781 743 550 400 531 438 589
"TSR3" 1304 1541 1928 1467 1544 959 1618 1393 1319
"PIGQ" 646 674 1608 668 824 681 740 652 1000
"CRAMP1" 1620 1230 2404 1555 1582 1731 1372 1247 1944
"TEAD3" 6975 4829 10185 7210 6773 5318 5496 5189 7139
"SELE" 4469 2413 276 1980 2628 48 1484 2421 241
"DNAJC11" 2107 1767 3296 2204 2133 1762 2447 1600 3021
"FMO3" 2 3 9 0 1 3 5 2 1
"MYLIP" 6520 6135 6666 7363 8088 3819 5849 8015 6448
"NOX1" 14 32 27 13 19 10 20 19 22
"E2F2" 156 178 254 212 166 214 256 719 265
"PSMB1" 10963 13940 12529 11226 13602 6263 10376 16882 12251
"SYN1" 6725 4687 10596 6188 5797 6245 5208 2752 2500
"JARID2" 2555 2013 3041 2812 3201 2048 2388 914 2440
"CDKL5" 2557 1900 3640 2983 2885 1824 2291 921 3483
"CAMK1G" 13 14 14 15 16 22 16 7 7
"CDK11A" 685 324 521 624 419 386 617 476 513
"NADK" 3666 3757 5515 4675 4994 5032 3587 3388 4172
"TFAP2B" 175 76 155 191 81 83 309 34 146
"TFAP2D" 0 1 0 0 1 0 0 1 0
"DLEC1" 692 819 1042 833 992 540 885 1096 933
"CYTH3" 7498 5517 12384 8351 6448 5643 8719 6069 8239
"ADAM22" 46 73 165 75 89 42 142 57 174
"SYPL1" 14877 11624 12688 15503 12519 8541 13322 11474 10346
"CYB561" 1393 1628 2452 1213 1580 835 1385 1151 1758
"SPAG9" 15169 11933 16266 11656 13543 10720 11335 11876 13663
"CELSR3" 123 109 182 89 90 147 173 33 105
"AASS" 505 781 817 563 901 492 681 676 1073
"PLEKHG6" 6162 3439 4211 5945 4148 2443 4387 1523 3466
"SS18L2" 475 705 669 625 674 384 560 847 583
"MPND" 387 389 631 380 418 322 511 362 443
"MGST1" 169 133 2189 252 113 1424 152 208 161
"CRY1" 2887 2868 3518 2218 2317 1929 1977 5103 2892
"PGLYRP1" 6 0 2 7 1 0 3 3 8
"NFIX" 287 370 339 308 444 226 261 209 92
"ST3GAL1" 3655 3267 6271 3540 3008 4278 4578 1563 2443
"MMP25" 54 34 66 26 18 85 36 21 56
"IL32" 1507 1096 610 944 1258 502 760 1355 391
"PKD1" 1220 1244 1936 1388 1337 1077 1827 1050 1110
"MAPK8IP2" 51 35 64 87 64 222 53 261 26
"MED24" 2315 1901 3537 2414 2365 1689 2655 1304 2932
"RHOBTB2" 851 1130 2407 929 1327 1557 1215 663 1687
"HEATR5B" 2014 1993 3070 1693 2019 1311 2239 1244 2698
"SEC62" 9022 7998 11581 8491 8096 8799 8715 12764 8308
"RPS20" 27340 28818 23528 24796 27644 10139 31503 35046 22105
"CSDE1" 36968 31316 38669 34545 34677 23287 35407 36164 30853
"UBE3C" 4148 4353 6708 4329 4392 3569 4656 4974 5790
"REV3L" 1437 1687 3042 1557 2116 1448 2181 1081 2779
"TENM1" 5 25 8 10 3 19 4 5 5
"PAX7" 2 3 1 0 2 8 0 0 0
"MASP2" 84 66 121 81 61 63 136 80 210
"IYD" 0 1 3 3 1 0 1 2 0
"FAM76A" 417 505 733 488 667 427 539 379 748
"TRAF3IP3" 145 131 239 110 121 278 128 130 181
"POMT2" 1190 890 1402 1173 1010 656 1441 683 1070
"VTA1" 3225 2944 4179 3420 3202 2563 3563 4447 3757
"MLXIPL" 4 4 11 5 2 2 3 7 8
"BAZ1B" 3604 3418 6887 3715 3450 4220 4472 4629 5016
"RANBP9" 3814 3622 5631 3465 4050 2851 3906 3610 4687
"ETV7" 620 386 869 2529 2190 2274 619 417 481
"SPRTN" 566 554 900 433 564 522 508 1141 616
"EEF1AKNMT" 1653 1268 2216 1819 1496 1244 1991 1397 1862
"DYRK4" 248 357 374 262 309 165 378 267 327
"ZNF207" 11189 9187 12999 11492 11359 8578 9381 15856 11883
"UQCRC1" 7548 9378 11903 7979 9465 5042 8485 7197 9436
"STARD3NL" 2128 2406 2678 2428 2334 1553 2430 1616 2492
"CD9" 3351 3520 2201 3592 3250 5981 3553 1305 1389
"HHATL" 0 2 0 1 0 0 1 2 1
"NCAPD2" 4085 3767 4740 4565 4430 2264 5362 3240 4647
"IFFO1" 148 322 416 167 330 287 247 318 238
"GIPR" 11 2 34 14 3 55 4 13 12
"PHF7" 170 193 258 190 202 118 262 153 281
"SEMA3G" 714 1390 455 761 1723 375 784 848 818
"NISCH" 3270 2696 5523 3532 3378 2506 4795 2808 4432
"STAB1" 720 1005 875 606 1061 940 529 1125 643
"FUZ" 871 718 1168 948 908 559 978 620 925
"SLC6A13" 6 7 3 4 1 2 2 7 5
"IDS" 12325 8312 9659 10572 9269 5651 8627 6511 7511
"PRSS3" 6 6 30 5 4 12 5 21 12
"ZNF200" 825 548 780 840 684 576 751 703 765
"CD4" 398 525 412 411 558 805 294 556 230
"LRRC23" 427 354 556 447 358 259 447 202 507
"BTK" 162 132 109 253 228 346 95 113 110
"HFE" 148 99 197 156 145 169 145 59 134
"SCMH1" 678 732 1153 749 766 607 932 461 1013
"FYN" 1411 1063 1938 1250 1104 1080 1215 487 611
"HIVEP2" 8022 4112 7519 6312 5313 5404 4951 3727 3497
"FMO1" 72 91 38 67 63 16 64 88 65
"ELOA" 3372 3357 3558 3114 3381 2542 3559 4825 3058
"LYPLA2" 3247 3512 5195 3204 3512 2536 3442 3358 3504
"CLCN6" 1021 1089 1563 1134 1278 854 1087 776 1374
"MRC2" 361 407 697 444 399 1303 280 435 152
"NME1-NME2" 13616 17569 15298 14278 16080 7204 14949 16672 14014
"SLC6A7" 44 34 48 19 22 25 18 28 11
"TSPAN9" 8589 10298 12986 15123 11535 5601 10090 4269 9164
"BTBD7" 3082 2694 4213 2809 2836 3337 2912 4761 3442
"APBA3" 1061 775 996 966 828 551 819 747 867
"MKS1" 367 399 625 433 539 251 551 215 564
